ORF	SMF	SDV
Q0075	0.530528	0.011833
YAL002W	0.698208	0.014371
YAL004W	0.983838	0.012644
YAL005C	1.023834	0.007149
YAL007C	1.034640	0.008897
YAL008W	1.024883	0.012660
YAL009W	0.933404	0.011102
YAL010C	0.675923	0.015846
YAL011W	0.957006	0.010721
YAL012W	0.613755	0.020788
YAL013W	0.881035	0.012562
YAL014C	1.049482	0.006003
YAL015C	1.046434	0.009251
YAL016C-B	1.034378	0.008495
YAL016W	NaN	NaN
YAL017W	1.022325	0.007628
YAL018C	0.978325	0.007075
YAL019W	0.941607	0.008986
YAL020C	0.959629	0.007527
YAL021C	0.426126	0.024724
YAL022C	1.010098	0.006107
YAL023C	1.069680	0.009925
YAL024C	0.953531	0.015477
YAL026C	NaN	NaN
YAL027W	1.002796	0.005507
YAL028W	0.998547	0.012480
YAL029C	1.039791	0.005445
YAL030W	1.030658	0.005572
YAL031C	1.041904	0.006285
YAL034C	1.004149	0.006887
YAL035W	1.017868	0.015527
YAL036C	0.998779	0.007477
YAL037C-A	1.039794	0.007266
YAL037W	0.986232	0.012496
YAL039C	0.634302	0.042109
YAL040C	0.966843	0.007400
YAL042W	1.045075	0.008476
YAL043C-A	0.986647	0.008204
YAL044C	0.705171	0.014187
YAL044W-A	1.059726	0.010224
YAL045C	0.984648	0.012748
YAL046C	0.981870	0.011210
YAL048C	0.904241	0.009452
YAL049C	0.997495	0.005084
YAL051W	1.079386	0.009395
YAL053W	0.990860	0.007807
YAL054C	1.051562	0.007120
YAL055W	0.875921	0.006455
YAL056W	1.087733	0.009848
YAL058C-A	0.966305	0.013893
YAL058W	1.008538	0.008816
YAL059W	1.028013	0.008493
YAL060W	1.005981	0.005459
YAL061W	1.072264	0.016501
YAL062W	1.021485	0.006543
YAL063C	1.102642	0.011888
YAL063C-A	1.160977	0.008828
YAL064C-A	1.020979	0.007664
YAL064W	NaN	NaN
YAL065C	1.053230	0.008493
YAL066W	1.061001	0.010797
YAL067C	1.020383	0.006409
YAL067W-A	1.054762	0.004385
YAL068C	1.035266	0.008095
YAR002C-A	1.001864	0.007120
YAR002W	1.005871	0.012879
YAR003W	0.856248	0.008159
YAR014C	0.946346	0.017039
YAR015W	0.981490	0.005918
YAR018C	0.961584	0.012057
YAR020C	1.006045	0.008416
YAR023C	1.026306	0.007745
YAR027W	1.105214	0.012437
YAR028W	1.028651	0.006752
YAR029W	0.922859	0.061499
YAR030C	1.004465	0.011138
YAR031W	1.016033	0.004888
YAR033W	1.024299	0.005437
YAR035C-A	0.962197	0.009650
YAR035W	1.026325	0.007812
YAR037W	1.035111	0.010257
YAR040C	1.013736	0.012402
YAR042W	0.985032	0.010802
YAR043C	1.022981	0.016114
YAR044W	0.952686	0.012769
YAR047C	1.059240	0.014771
YAR050W	1.060519	0.006804
YAR061W	1.113872	0.009870
YAR062W	1.031619	0.006183
YAR064W	1.019756	0.011109
YAR066W	NaN	NaN
YAR068W	1.029285	0.007491
YAR071W	1.020829	0.009442
YAR073W	0.781419	0.009340
YAR075W	0.903082	0.012347
YBL001C	1.020443	0.008024
YBL002W	1.023025	0.012108
YBL003C	1.009313	0.009839
YBL005W	1.009465	0.008185
YBL007C	0.786137	0.014734
YBL008W	0.984716	0.009779
YBL008W-A	1.029788	0.011215
YBL009W	1.017433	0.008663
YBL010C	1.037597	0.006767
YBL011W	0.999235	0.008928
YBL013W	1.015978	0.009634
YBL015W	1.034405	0.006439
YBL016W	NaN	NaN
YBL017C	0.944799	0.010623
YBL019W	1.062892	0.011282
YBL021C	0.794610	0.030764
YBL022C	0.606298	0.036502
YBL024W	1.028515	0.007963
YBL025W	0.362292	0.044911
YBL027W	0.738724	0.054368
YBL028C	1.033988	0.008302
YBL029C-A	1.051955	0.008336
YBL029W	1.027344	0.009916
YBL031W	0.930096	0.015703
YBL032W	1.021993	0.006818
YBL033C	NaN	NaN
YBL036C	0.997222	0.011929
YBL037W	0.984849	0.006342
YBL038W	0.373682	0.053292
YBL039C	0.957343	0.007086
YBL039W-B	1.076824	0.004922
YBL042C	0.959413	0.008701
YBL043W	1.035446	0.006025
YBL044W	1.046082	0.005382
YBL045C	0.684653	0.065237
YBL046W	1.073755	0.010750
YBL047C	0.942484	0.013228
YBL048W	1.020068	0.009737
YBL049W	0.992248	0.008826
YBL051C	0.906495	0.013890
YBL052C	1.010440	0.006111
YBL053W	1.043731	0.010358
YBL054W	1.043669	0.007008
